Time,Status,Message,Season,Round,Date
0 days 00:32:40.378000,1,AllClear,2018,17,2018-10-07 05:42:40.378
0 days 00:34:00.280000,2,Yellow,2018,17,2018-10-07 05:44:00.280
0 days 00:34:17.552000,1,AllClear,2018,17,2018-10-07 05:44:17.552
0 days 01:24:37.502000,2,Yellow,2018,17,2018-10-07 06:34:37.502
0 days 01:24:44.109000,1,AllClear,2018,17,2018-10-07 06:34:44.109
0 days 01:25:16.445000,2,Yellow,2018,17,2018-10-07 06:35:16.445
0 days 01:26:07.512000,6,VSCDeployed,2018,17,2018-10-07 06:36:07.512
0 days 01:27:08.858000,7,VSCEnding,2018,17,2018-10-07 06:37:08.858
0 days 01:27:19.093000,1,AllClear,2018,17,2018-10-07 06:37:19.093
0 days 00:07:15.932000,1,AllClear,2018,18,2018-10-21 18:17:15.932
0 days 00:34:13.429000,2,Yellow,2018,18,2018-10-21 18:44:13.429
0 days 00:34:31.993000,1,AllClear,2018,18,2018-10-21 18:44:31.993
0 days 00:34:48.262000,2,Yellow,2018,18,2018-10-21 18:44:48.262
0 days 00:35:04.962000,1,AllClear,2018,18,2018-10-21 18:45:04.962
0 days 00:38:06.453000,2,Yellow,2018,18,2018-10-21 18:48:06.453
0 days 00:38:16.838000,1,AllClear,2018,18,2018-10-21 18:48:16.838
0 days 00:48:09.923000,2,Yellow,2018,18,2018-10-21 18:58:09.923
0 days 00:48:10.804000,1,AllClear,2018,18,2018-10-21 18:58:10.804
0 days 00:48:11.032000,2,Yellow,2018,18,2018-10-21 18:58:11.032
0 days 00:48:25.059000,1,AllClear,2018,18,2018-10-21 18:58:25.059
0 days 00:48:36.446000,2,Yellow,2018,18,2018-10-21 18:58:36.446
0 days 00:50:23.873000,6,VSCDeployed,2018,18,2018-10-21 19:00:23.873
0 days 00:53:07.612000,7,VSCEnding,2018,18,2018-10-21 19:03:07.612
0 days 00:53:22.469000,1,AllClear,2018,18,2018-10-21 19:03:22.469
0 days 00:05:20.880000,1,AllClear,2018,19,2018-10-28 19:15:20.880
0 days 00:38:30.932000,2,Yellow,2018,19,2018-10-28 19:48:30.932
0 days 00:38:48.936000,1,AllClear,2018,19,2018-10-28 19:48:48.936
0 days 00:38:53.651000,2,Yellow,2018,19,2018-10-28 19:48:53.651
0 days 00:38:58.567000,6,VSCDeployed,2018,19,2018-10-28 19:48:58.567
0 days 00:39:55.469000,7,VSCEnding,2018,19,2018-10-28 19:49:55.469
0 days 00:40:06.874000,1,AllClear,2018,19,2018-10-28 19:50:06.874
0 days 01:14:15.429000,2,Yellow,2018,19,2018-10-28 20:24:15.429
0 days 01:14:41.480000,6,VSCDeployed,2018,19,2018-10-28 20:24:41.480
0 days 01:17:37.957000,7,VSCEnding,2018,19,2018-10-28 20:27:37.957
0 days 01:17:50.261000,1,AllClear,2018,19,2018-10-28 20:27:50.261
0 days 01:57:58.372000,2,Yellow,2018,19,2018-10-28 21:07:58.372
0 days 01:58:13.123000,6,VSCDeployed,2018,19,2018-10-28 21:08:13.123
0 days 02:00:43.030000,7,VSCEnding,2018,19,2018-10-28 21:10:43.030
0 days 02:00:57.466000,1,AllClear,2018,19,2018-10-28 21:10:57.466
0 days 00:10:26.889000,1,AllClear,2018,20,2018-11-11 17:20:26.889
0 days 00:58:44.871000,2,Yellow,2018,20,2018-11-11 18:08:44.871
0 days 00:58:46.189000,1,AllClear,2018,20,2018-11-11 18:08:46.189
0 days 00:58:50.036000,2,Yellow,2018,20,2018-11-11 18:08:50.036
0 days 00:58:55.932000,1,AllClear,2018,20,2018-11-11 18:08:55.932
0 days 01:26:58.826000,2,Yellow,2018,20,2018-11-11 18:36:58.826
0 days 01:27:11.053000,1,AllClear,2018,20,2018-11-11 18:37:11.053
0 days 00:14:50.789000,1,AllClear,2018,21,2018-11-25 13:24:50.789
0 days 00:34:34.281000,2,Yellow,2018,21,2018-11-25 13:44:34.281
0 days 00:34:38.530000,4,SCDeployed,2018,21,2018-11-25 13:44:38.530
0 days 00:43:48.619000,1,AllClear,2018,21,2018-11-25 13:53:48.619
0 days 00:47:51.675000,2,Yellow,2018,21,2018-11-25 13:57:51.675
0 days 00:48:04.656000,6,VSCDeployed,2018,21,2018-11-25 13:58:04.656
0 days 00:51:21.870000,7,VSCEnding,2018,21,2018-11-25 14:01:21.870
0 days 00:51:34.104000,1,AllClear,2018,21,2018-11-25 14:01:34.104
0 days 02:01:04.848000,2,Yellow,2018,21,2018-11-25 15:11:04.848
0 days 02:01:34.561000,1,AllClear,2018,21,2018-11-25 15:11:34.561
0 days 02:01:36.124000,2,Yellow,2018,21,2018-11-25 15:11:36.124
0 days 02:03:00.479000,1,AllClear,2018,21,2018-11-25 15:13:00.479
0 days 02:14:57.626000,2,Yellow,2018,21,2018-11-25 15:24:57.626
0 days 02:15:13.561000,1,AllClear,2018,21,2018-11-25 15:25:13.561
0 days 00:00:00,1,AllClear,2019,1,2019-03-17 05:10:00.000
0 days 00:34:07.225000,2,Yellow,2019,1,2019-03-17 05:44:07.225
0 days 00:34:50.255000,1,AllClear,2019,1,2019-03-17 05:44:50.255
0 days 01:19:15.470000,2,Yellow,2019,1,2019-03-17 06:29:15.470
0 days 01:19:24.296000,1,AllClear,2019,1,2019-03-17 06:29:24.296
0 days 00:11:35.413000,1,AllClear,2019,2,2019-03-31 15:21:35.413
0 days 00:11:35.413000,1,AllClear,2019,2,2019-03-31 15:21:35.413
0 days 00:11:35.413000,2,Yellow,2019,2,2019-03-31 15:21:35.413
0 days 00:34:13.604000,2,Yellow,2019,2,2019-03-31 15:44:13.604
0 days 00:34:15.208000,1,AllClear,2019,2,2019-03-31 15:44:15.208
0 days 00:34:21.300000,2,Yellow,2019,2,2019-03-31 15:44:21.300
0 days 00:34:23.498000,1,AllClear,2019,2,2019-03-31 15:44:23.498
0 days 00:34:41.968000,2,Yellow,2019,2,2019-03-31 15:44:41.968
0 days 00:34:47.654000,1,AllClear,2019,2,2019-03-31 15:44:47.654
0 days 00:34:57.343000,2,Yellow,2019,2,2019-03-31 15:44:57.343
0 days 00:35:15.885000,1,AllClear,2019,2,2019-03-31 15:45:15.885
0 days 00:36:00.703000,2,Yellow,2019,2,2019-03-31 15:46:00.703
0 days 00:36:04.956000,1,AllClear,2019,2,2019-03-31 15:46:04.956
0 days 00:39:02.300000,2,Yellow,2019,2,2019-03-31 15:49:02.300
0 days 00:39:17.245000,1,AllClear,2019,2,2019-03-31 15:49:17.245
0 days 00:42:29.779000,2,Yellow,2019,2,2019-03-31 15:52:29.779
0 days 00:42:37.415000,1,AllClear,2019,2,2019-03-31 15:52:37.415
0 days 00:52:59.771000,2,Yellow,2019,2,2019-03-31 16:02:59.771
0 days 00:53:09.611000,1,AllClear,2019,2,2019-03-31 16:03:09.611
0 days 01:34:27.384000,2,Yellow,2019,2,2019-03-31 16:44:27.384
0 days 01:34:37.647000,1,AllClear,2019,2,2019-03-31 16:44:37.647
0 days 01:38:46.084000,2,Yellow,2019,2,2019-03-31 16:48:46.084
0 days 01:38:54.802000,1,AllClear,2019,2,2019-03-31 16:48:54.802
0 days 01:42:50.190000,2,Yellow,2019,2,2019-03-31 16:52:50.190
0 days 01:42:58.341000,1,AllClear,2019,2,2019-03-31 16:52:58.341
0 days 02:00:47.445000,2,Yellow,2019,2,2019-03-31 17:10:47.445
0 days 02:02:15.423000,4,SCDeployed,2019,2,2019-03-31 17:12:15.423
0 days 00:02:12.673000,1,AllClear,2019,3,2019-04-14 06:12:12.673
0 days 00:34:16.094000,2,Yellow,2019,3,2019-04-14 06:44:16.094
0 days 00:34:21.312000,1,AllClear,2019,3,2019-04-14 06:44:21.312
0 days 00:34:52.298000,6,VSCDeployed,2019,3,2019-04-14 06:44:52.298
0 days 00:35:43.635000,7,VSCEnding,2019,3,2019-04-14 06:45:43.635
0 days 00:35:55.890000,1,AllClear,2019,3,2019-04-14 06:45:55.890
0 days 00:00:00,1,AllClear,2019,4,2019-04-28 12:10:00.000
0 days 00:01:22.039000,2,Yellow,2019,4,2019-04-28 12:11:22.039
0 days 00:01:26.109000,1,AllClear,2019,4,2019-04-28 12:11:26.109
0 days 00:01:30.027000,2,Yellow,2019,4,2019-04-28 12:11:30.027
0 days 00:02:56.309000,1,AllClear,2019,4,2019-04-28 12:12:56.309
