LapStartTime,Driver,LapNumber,LapTime,TyreLife,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,Position,TrackStatus
0 days 01:50:44.162000,SAI,30.0,0 days 00:01:39.004000,16.0,0 days 00:00:31.729000,0 days 00:00:42.780000,0 days 00:00:24.495000,2.0,SOFT,3.0,
0 days 01:50:46.807000,PER,30.0,0 days 00:01:38.879000,15.0,0 days 00:00:31.547000,0 days 00:00:42.883000,0 days 00:00:24.449000,2.0,MEDIUM,4.0,
0 days 01:51:07.518000,RUS,30.0,0 days 00:01:39.454000,16.0,0 days 00:00:31.881000,0 days 00:00:43.186000,0 days 00:00:24.387000,2.0,HARD,5.0,
0 days 01:51:16.784000,MAG,30.0,0 days 00:01:40.174000,19.0,0 days 00:00:31.792000,0 days 00:00:43.683000,0 days 00:00:24.699000,2.0,SOFT,6.0,
0 days 01:51:22.606000,GAS,30.0,0 days 00:01:39.800000,16.0,0 days 00:00:31.846000,0 days 00:00:43.318000,0 days 00:00:24.636000,2.0,MEDIUM,7.0,
0 days 01:51:25.322000,HAM,30.0,0 days 00:01:37.506000,3.0,0 days 00:00:31.095000,0 days 00:00:42.480000,0 days 00:00:23.931000,3.0,MEDIUM,8.0,
0 days 01:51:32.252000,OCO,30.0,0 days 00:01:42.618000,16.0,0 days 00:00:31.815000,0 days 00:00:43.407000,0 days 00:00:27.396000,2.0,MEDIUM,9.0,
0 days 01:51:37.979000,BOT,30.0,0 days 00:01:39.268000,16.0,0 days 00:00:31.513000,0 days 00:00:43.314000,0 days 00:00:24.441000,2.0,MEDIUM,10.0,
0 days 01:51:39.561000,TSU,30.0,0 days 00:01:59.210000,1.0,0 days 00:00:51.913000,0 days 00:00:43.166000,0 days 00:00:24.131000,3.0,SOFT,14.0,
0 days 01:51:40.537000,ZHO,30.0,0 days 00:01:39.836000,15.0,0 days 00:00:31.752000,0 days 00:00:43.568000,0 days 00:00:24.516000,2.0,MEDIUM,11.0,
0 days 01:51:51.084000,MSC,30.0,0 days 00:01:41.606000,18.0,0 days 00:00:32.330000,0 days 00:00:44.362000,0 days 00:00:24.914000,2.0,MEDIUM,13.0,
0 days 01:51:51.803000,ALO,30.0,0 days 00:01:38.626000,5.0,0 days 00:00:31.410000,0 days 00:00:42.884000,0 days 00:00:24.332000,3.0,HARD,12.0,
0 days 01:51:58.934000,STR,30.0,0 days 00:01:40.850000,12.0,0 days 00:00:32.192000,0 days 00:00:43.771000,0 days 00:00:24.887000,2.0,SOFT,15.0,
0 days 01:52:02.501000,ALB,30.0,0 days 00:01:41.020000,17.0,0 days 00:00:32.037000,0 days 00:00:44.231000,0 days 00:00:24.752000,2.0,MEDIUM,16.0,
0 days 01:52:10.215000,RIC,30.0,0 days 00:01:40.647000,13.0,0 days 00:00:32.077000,0 days 00:00:43.702000,0 days 00:00:24.868000,2.0,SOFT,17.0,
0 days 01:52:12.662000,LEC,31.0,0 days 00:01:41.545000,19.0,0 days 00:00:31.577000,0 days 00:00:42.878000,0 days 00:00:27.090000,2.0,SOFT,1.0,
0 days 01:52:13.273000,LAT,30.0,0 days 00:01:42.106000,16.0,0 days 00:00:32.405000,0 days 00:00:44.718000,0 days 00:00:24.983000,2.0,SOFT,18.0,
0 days 01:52:17.914000,HUL,30.0,0 days 00:01:40.483000,11.0,0 days 00:00:31.927000,0 days 00:00:43.709000,0 days 00:00:24.847000,2.0,SOFT,19.0,
0 days 01:52:19.022000,VER,31.0,0 days 00:01:57.239000,1.0,0 days 00:00:52.026000,0 days 00:00:41.486000,0 days 00:00:23.727000,3.0,MEDIUM,4.0,
0 days 01:52:21.719000,NOR,30.0,0 days 00:01:39.184000,6.0,0 days 00:00:31.749000,0 days 00:00:43.001000,0 days 00:00:24.434000,2.0,HARD,20.0,
0 days 01:52:23.166000,SAI,31.0,0 days 00:01:39.105000,17.0,0 days 00:00:31.640000,0 days 00:00:42.870000,0 days 00:00:24.595000,2.0,SOFT,2.0,
0 days 01:52:25.686000,PER,31.0,0 days 00:01:39.292000,16.0,0 days 00:00:31.717000,0 days 00:00:43.018000,0 days 00:00:24.557000,2.0,MEDIUM,3.0,
0 days 01:52:46.972000,RUS,31.0,0 days 00:01:39.438000,17.0,0 days 00:00:31.884000,0 days 00:00:43.111000,0 days 00:00:24.443000,2.0,HARD,5.0,
0 days 01:52:56.958000,MAG,31.0,0 days 00:01:40.233000,20.0,0 days 00:00:31.887000,0 days 00:00:43.561000,0 days 00:00:24.785000,2.0,SOFT,6.0,
0 days 01:53:02.406000,GAS,31.0,0 days 00:01:40.874000,17.0,0 days 00:00:32.457000,0 days 00:00:43.773000,0 days 00:00:24.644000,2.0,MEDIUM,8.0,
0 days 01:53:02.828000,HAM,31.0,0 days 00:01:36.660000,4.0,0 days 00:00:30.999000,0 days 00:00:41.876000,0 days 00:00:23.785000,3.0,MEDIUM,7.0,
0 days 01:53:14.870000,OCO,31.0,0 days 00:02:00.824000,1.0,0 days 00:00:53.656000,0 days 00:00:43.028000,0 days 00:00:24.140000,3.0,HARD,13.0,
0 days 01:53:17.247000,BOT,31.0,0 days 00:01:39.806000,17.0,0 days 00:00:31.722000,0 days 00:00:43.495000,0 days 00:00:24.589000,2.0,MEDIUM,9.0,
0 days 01:53:20.373000,ZHO,31.0,0 days 00:01:39.748000,16.0,0 days 00:00:31.898000,0 days 00:00:43.268000,0 days 00:00:24.582000,2.0,MEDIUM,10.0,
0 days 01:53:30.429000,ALO,31.0,0 days 00:01:38.958000,6.0,0 days 00:00:31.833000,0 days 00:00:42.805000,0 days 00:00:24.320000,3.0,HARD,11.0,
0 days 01:53:32.690000,MSC,31.0,0 days 00:01:40.914000,19.0,0 days 00:00:32.081000,0 days 00:00:43.960000,0 days 00:00:24.873000,2.0,MEDIUM,12.0,
0 days 01:53:38.771000,TSU,31.0,0 days 00:01:38.722000,2.0,0 days 00:00:31.620000,0 days 00:00:42.914000,0 days 00:00:24.188000,3.0,SOFT,14.0,
0 days 01:53:39.784000,STR,31.0,0 days 00:01:40.855000,13.0,0 days 00:00:31.645000,0 days 00:00:44.499000,0 days 00:00:24.711000,2.0,SOFT,15.0,
0 days 01:53:43.521000,ALB,31.0,0 days 00:01:41.230000,18.0,0 days 00:00:32.091000,0 days 00:00:44.371000,0 days 00:00:24.768000,2.0,MEDIUM,16.0,
0 days 01:53:50.862000,RIC,31.0,0 days 00:01:40.631000,14.0,0 days 00:00:32.152000,0 days 00:00:43.744000,0 days 00:00:24.735000,2.0,SOFT,17.0,
0 days 01:53:54.207000,LEC,32.0,0 days 00:01:56.325000,1.0,0 days 00:00:51.729000,0 days 00:00:40.914000,0 days 00:00:23.682000,3.0,MEDIUM,3.0,
0 days 01:53:55.379000,LAT,31.0,0 days 00:01:41.888000,17.0,0 days 00:00:32.192000,0 days 00:00:44.701000,0 days 00:00:24.995000,2.0,SOFT,18.0,
0 days 01:53:58.397000,HUL,31.0,0 days 00:01:40.473000,12.0,0 days 00:00:32.076000,0 days 00:00:43.585000,0 days 00:00:24.812000,2.0,SOFT,19.0,
0 days 01:54:00.903000,NOR,31.0,0 days 00:01:39.251000,7.0,0 days 00:00:31.788000,0 days 00:00:43.052000,0 days 00:00:24.411000,2.0,HARD,20.0,
0 days 01:54:02.271000,SAI,32.0,0 days 00:01:39.386000,18.0,0 days 00:00:31.697000,0 days 00:00:43.053000,0 days 00:00:24.636000,2.0,SOFT,1.0,
0 days 01:54:04.978000,PER,32.0,0 days 00:01:39.222000,17.0,0 days 00:00:31.631000,0 days 00:00:43.057000,0 days 00:00:24.534000,2.0,MEDIUM,2.0,
0 days 01:54:16.261000,VER,32.0,0 days 00:01:36.527000,2.0,0 days 00:00:30.783000,0 days 00:00:41.843000,0 days 00:00:23.901000,3.0,MEDIUM,4.0,
0 days 01:54:26.410000,RUS,32.0,0 days 00:01:39.738000,18.0,0 days 00:00:31.984000,0 days 00:00:43.333000,0 days 00:00:24.421000,2.0,HARD,5.0,
0 days 01:54:37.191000,MAG,32.0,0 days 00:01:40.522000,21.0,0 days 00:00:31.975000,0 days 00:00:43.722000,0 days 00:00:24.825000,2.0,SOFT,6.0,
0 days 01:54:39.488000,HAM,32.0,0 days 00:01:38.290000,5.0,0 days 00:00:31.152000,0 days 00:00:42.667000,0 days 00:00:24.471000,3.0,MEDIUM,7.0,
0 days 01:54:43.280000,GAS,32.0,0 days 00:01:42.305000,18.0,0 days 00:00:31.928000,0 days 00:00:43.438000,0 days 00:00:26.939000,2.0,MEDIUM,8.0,
0 days 01:54:57.053000,BOT,32.0,0 days 00:01:39.650000,18.0,0 days 00:00:31.779000,0 days 00:00:43.340000,0 days 00:00:24.531000,2.0,MEDIUM,9.0,
0 days 01:55:00.121000,ZHO,32.0,0 days 00:01:39.814000,17.0,0 days 00:00:31.813000,0 days 00:00:43.446000,0 days 00:00:24.555000,2.0,MEDIUM,10.0,
0 days 01:55:09.387000,ALO,32.0,0 days 00:01:39.153000,7.0,0 days 00:00:31.722000,0 days 00:00:43.088000,0 days 00:00:24.343000,3.0,HARD,11.0,
0 days 01:55:13.604000,MSC,32.0,0 days 00:01:40.916000,20.0,0 days 00:00:32.043000,0 days 00:00:43.766000,0 days 00:00:25.107000,2.0,MEDIUM,13.0,
0 days 01:55:15.694000,OCO,32.0,0 days 00:01:38.298000,2.0,0 days 00:00:31.366000,0 days 00:00:42.640000,0 days 00:00:24.292000,3.0,HARD,12.0,
0 days 01:55:17.493000,TSU,32.0,0 days 00:01:37.885000,3.0,0 days 00:00:31.402000,0 days 00:00:42.469000,0 days 00:00:24.014000,3.0,SOFT,14.0,
0 days 01:55:20.639000,STR,32.0,0 days 00:01:40.037000,14.0,0 days 00:00:31.984000,0 days 00:00:43.319000,0 days 00:00:24.734000,2.0,SOFT,15.0,
0 days 01:55:24.751000,ALB,32.0,0 days 00:01:41.241000,19.0,0 days 00:00:32.123000,0 days 00:00:44.467000,0 days 00:00:24.651000,2.0,MEDIUM,16.0,
0 days 01:55:31.493000,RIC,32.0,0 days 00:01:40.686000,15.0,0 days 00:00:32.144000,0 days 00:00:43.691000,0 days 00:00:24.851000,2.0,SOFT,17.0,
0 days 01:55:37.267000,LAT,32.0,0 days 00:01:44.577000,18.0,0 days 00:00:32.282000,0 days 00:00:44.715000,0 days 00:00:27.580000,2.0,SOFT,20.0,
0 days 01:55:38.870000,HUL,32.0,0 days 00:01:41.036000,13.0,0 days 00:00:32.092000,0 days 00:00:43.776000,0 days 00:00:25.168000,2.0,SOFT,18.0,
0 days 01:55:40.154000,NOR,32.0,0 days 00:01:41.449000,8.0,0 days 00:00:31.781000,0 days 00:00:43.408000,0 days 00:00:26.260000,2.0,HARD,19.0,
0 days 01:55:41.657000,SAI,33.0,0 days 00:01:41.915000,19.0,0 days 00:00:31.709000,0 days 00:00:43.133000,0 days 00:00:27.073000,2.0,SOFT,1.0,
0 days 01:55:44.200000,PER,33.0,0 days 00:01:41.868000,18.0,0 days 00:00:31.657000,0 days 00:00:43.109000,0 days 00:00:27.102000,2.0,MEDIUM,2.0,
0 days 01:55:50.532000,LEC,33.0,0 days 00:01:36.674000,2.0,0 days 00:00:31.116000,0 days 00:00:41.828000,0 days 00:00:23.730000,3.0,MEDIUM,3.0,
0 days 01:55:52.788000,VER,33.0,0 days 00:01:36.347000,3.0,0 days 00:00:30.817000,0 days 00:00:41.723000,0 days 00:00:23.807000,3.0,MEDIUM,4.0,
0 days 01:56:06.148000,RUS,33.0,0 days 00:01:41.830000,19.0,0 days 00:00:31.848000,0 days 00:00:43.364000,0 days 00:00:26.618000,2.0,HARD,5.0,
0 days 01:56:17.713000,MAG,33.0,0 days 00:01:40.523000,22.0,0 days 00:00:32.068000,0 days 00:00:43.601000,0 days 00:00:24.854000,2.0,SOFT,7.0,
0 days 01:56:17.778000,HAM,33.0,0 days 00:01:37.085000,6.0,0 days 00:00:30.938000,0 days 00:00:42.113000,0 days 00:00:24.034000,3.0,MEDIUM,6.0,
0 days 01:56:25.585000,GAS,33.0,0 days 00:02:00.808000,1.0,0 days 00:00:54.323000,0 days 00:00:42.453000,0 days 00:00:24.032000,3.0,HARD,10.0,
0 days 01:56:36.703000,BOT,33.0,0 days 00:01:39.815000,19.0,0 days 00:00:31.884000,0 days 00:00:43.478000,0 days 00:00:24.453000,2.0,MEDIUM,8.0,
0 days 01:56:39.935000,ZHO,33.0,0 days 00:01:39.842000,18.0,0 days 00:00:31.825000,0 days 00:00:43.491000,0 days 00:00:24.526000,2.0,MEDIUM,9.0,
0 days 01:56:48.540000,ALO,33.0,0 days 00:01:39.686000,8.0,0 days 00:00:31.906000,0 days 00:00:43.345000,0 days 00:00:24.435000,3.0,HARD,11.0,
0 days 01:56:53.992000,OCO,33.0,0 days 00:01:38.110000,3.0,0 days 00:00:31.410000,0 days 00:00:42.533000,0 days 00:00:24.167000,3.0,HARD,12.0,
0 days 01:56:54.520000,MSC,33.0,0 days 00:01:41.340000,21.0,0 days 00:00:31.658000,0 days 00:00:44.470000,0 days 00:00:25.212000,2.0,MEDIUM,14.0,
0 days 01:56:55.378000,TSU,33.0,0 days 00:01:38.980000,4.0,0 days 00:00:31.378000,0 days 00:00:43.257000,0 days 00:00:24.345000,3.0,SOFT,13.0,
0 days 01:57:00.676000,STR,33.0,0 days 00:01:40.347000,15.0,0 days 00:00:32.008000,0 days 00:00:43.658000,0 days 00:00:24.681000,2.0,SOFT,15.0,
0 days 01:57:05.992000,ALB,33.0,0 days 00:01:40.863000,20.0,0 days 00:00:32.078000,0 days 00:00:44.115000,0 days 00:00:24.670000,2.0,MEDIUM,16.0,
0 days 01:57:12.179000,RIC,33.0,0 days 00:01:43.359000,16.0,0 days 00:00:32.148000,0 days 00:00:43.679000,0 days 00:00:27.532000,2.0,SOFT,17.0,
0 days 01:57:19.906000,HUL,33.0,0 days 00:01:40.070000,14.0,0 days 00:00:31.820000,0 days 00:00:43.401000,0 days 00:00:24.849000,2.0,SOFT,18.0,
0 days 01:57:21.603000,NOR,33.0,0 days 00:01:39.161000,9.0,0 days 00:00:31.499000,0 days 00:00:43.173000,0 days 00:00:24.489000,2.0,HARD,19.0,
0 days 01:57:21.844000,LAT,33.0,0 days 00:02:03.320000,1.0,0 days 00:00:54.126000,0 days 00:00:44.651000,0 days 00:00:24.543000,3.0,MEDIUM,20.0,
0 days 01:57:23.572000,SAI,34.0,0 days 00:01:57.101000,1.0,0 days 00:00:51.627000,0 days 00:00:41.766000,0 days 00:00:23.708000,3.0,MEDIUM,3.0,
0 days 01:57:26.068000,PER,34.0,0 days 00:01:57.056000,4.0,0 days 00:00:51.600000,0 days 00:00:41.774000,0 days 00:00:23.682000,3.0,SOFT,4.0,
0 days 01:57:27.206000,LEC,34.0,0 days 00:01:36.399000,3.0,0 days 00:00:31.066000,0 days 00:00:41.620000,0 days 00:00:23.713000,3.0,MEDIUM,1.0,
